Date,Open,High,Low,Close,Volume,day,weekday,week,year
1993-01-29 05:00:00+00:00,25.236144449768503,25.236144449768503,25.11059149230697,25.21820831298828,1003200,29,4,4,1993
1993-02-01 05:00:00+00:00,25.236150111182265,25.39757537841797,25.236150111182265,25.39757537841797,480500,1,0,5,1993
1993-02-02 05:00:00+00:00,25.37964283201877,25.469323548739688,25.325834401986228,25.451387405395508,201300,2,1,5,1993
1993-02-03 05:00:00+00:00,25.48726806348005,25.738374152775425,25.46933191424467,25.72043800354004,529400,3,2,5,1993
1993-02-04 05:00:00+00:00,25.81012018521627,25.88186478614807,25.523141781489056,25.82805633544922,531500,4,3,5,1993
1993-02-05 05:00:00+00:00,25.810134887695312,25.86394336904561,25.666645604094505,25.810134887695312,492100,5,4,5,1993
1993-02-08 05:00:00+00:00,25.810134887695312,25.89981568994581,25.77426256679511,25.810134887695312,596100,8,0,6,1993
1993-02-09 05:00:00+00:00,25.72043137920745,25.72043137920745,25.576942222280216,25.63075065612793,122100,9,1,6,1993
1993-02-10 05:00:00+00:00,25.63074987372845,25.684558305933624,25.5590052974549,25.666622161865234,379600,10,2,6,1993
1993-02-11 05:00:00+00:00,25.702502175067163,25.89979981911862,25.702502175067163,25.79218292236328,19500,11,3,6,1993
1993-02-12 05:00:00+00:00,25.756314053766022,25.756314053766022,25.59488868713379,25.59488868713379,42500,12,4,6,1993
1993-02-16 05:00:00+00:00,25.523145114835604,25.523145114835604,24.91331592727101,24.949188232421875,374800,16,1,7,1993
1993-02-17 05:00:00+00:00,24.949183860614145,24.98505615947916,24.84156696401912,24.93124771118164,210900,17,2,7,1993
1993-02-18 05:00:00+00:00,25.21822746886548,25.21822746886548,24.57252605429993,24.913312911987305,378100,18,3,7,1993
1993-02-19 05:00:00+00:00,24.91330808067596,25.002988815307617,24.877435786823288,25.002988815307617,34900,19,4,7,1993
1993-02-22 05:00:00+00:00,25.0747342931108,25.12854273579988,25.00298970285869,25.092670440673828,513600,22,0,8,1993
1993-02-23 05:00:00+00:00,25.16442212662813,25.182358279248675,24.94918829518156,25.07474136352539,373700,23,1,8,1993
1993-02-24 05:00:00+00:00,25.09266098475052,25.39757537841797,25.09266098475052,25.39757537841797,26300,24,2,8,1993
1993-02-25 05:00:00+00:00,25.37964283201877,25.469323548739688,25.325834401986228,25.451387405395508,44500,25,3,8,1993
1993-02-26 05:00:00+00:00,25.505206506072764,25.505206506072764,25.36171729928754,25.48727035522461,66200,26,4,8,1993
1993-03-01 05:00:00+00:00,25.5769507920313,25.5769507920313,25.379653135150274,25.415525436401367,66500,1,0,9,1993
1993-03-02 05:00:00+00:00,25.43345993317881,25.79218292236328,25.397587634260365,25.79218292236328,182400,2,1,9,1993
1993-03-03 05:00:00+00:00,25.82805284832984,25.917733587386536,25.792180552707155,25.899797439575195,280100,3,2,9,1993
1993-03-04 05:00:00+00:00,25.93567099611075,25.93567099611075,25.756309509277344,25.756309509277344,89500,4,3,9,1993
1993-03-05 05:00:00+00:00,25.7921776505156,25.899794525274352,25.66662462996371,25.68456077575684,40000,5,4,9,1993
1993-03-08 05:00:00+00:00,25.738375584284466,26.25852394104004,25.738375584284466,26.25852394104004,50800,8,0,10,1993
1993-03-09 05:00:00+00:00,26.204714614941373,26.222650764575143,26.11503386677252,26.168842315673828,169300,9,1,10,1993
1993-03-10 05:00:00+00:00,26.16883446579919,26.22264289855957,26.061217600278425,26.22264289855957,194400,10,2,10,1993
1993-03-11 05:00:00+00:00,26.24057487205223,26.31231943766276,26.1150218822338,26.150894165039062,70900,11,3,10,1993
1993-03-12 05:00:00+00:00,25.93567299793267,25.9536091480004,25.72043919711995,25.88186454772949,643600,12,4,10,1993
1993-03-15 05:00:00+00:00,25.863917096894365,26.00740623474121,25.863917096894365,26.00740623474121,310800,15,0,11,1993
1993-03-16 05:00:00+00:00,26.00740623474121,26.07915080366464,26.00740623474121,26.00740623474121,30800,16,1,11,1993
1993-03-17 05:00:00+00:00,25.971530763413,25.971530763413,25.810105503143163,25.845977783203125,21800,17,2,11,1993
1993-03-18 05:00:00+00:00,25.953597808048645,26.11502308812635,25.953597808048645,26.00740623474121,59300,18,3,11,1993
1993-03-19 05:00:00+00:00,26.112212995784635,26.112212995784635,25.96804618835449,25.96804618835449,66900,19,4,11,1993
1993-03-22 05:00:00+00:00,25.71575793567772,25.87794561712208,25.697737082183902,25.823883056640625,183400,22,0,12,1993
1993-03-23 05:00:00+00:00,25.895971525346337,25.913992382357712,25.84190895431221,25.87795066833496,55200,23,1,12,1993
1993-03-24 05:00:00+00:00,25.84190895431221,25.98607581040321,25.71576295523258,25.87795066833496,37200,24,2,12,1993
1993-03-25 05:00:00+00:00,25.895973286084235,26.094202726687527,25.85993156961091,26.04014015197754,110100,25,3,12,1993
1993-03-26 05:00:00+00:00,26.02211154627153,26.04013239914291,25.87794472330049,25.895965576171875,101500,26,4,12,1993
1993-03-29 05:00:00+00:00,25.91399650018577,26.13024681868524,25.91399650018577,26.004100799560547,87100,29,0,13,1993
1993-03-30 05:00:00+00:00,26.0401435053258,26.07618522644043,26.004101784211155,26.07618522644043,56000,30,1,13,1993
1993-03-31 05:00:00+00:00,26.148280383805183,26.220363858329804,26.05817604064941,26.05817604064941,111600,31,2,13,1993
1993-04-01 05:00:00+00:00,26.094192144855867,26.094192144855867,25.91398363556819,25.96804618835449,129500,1,3,13,1993
1993-04-02 05:00:00+00:00,25.751800761503333,25.751800761503333,25.427425384521484,25.427425384521484,59400,2,4,13,1993
1993-04-05 04:00:00+00:00,25.625653206377336,25.625653206377336,25.481486381025004,25.55356979370117,172200,5,0,14,1993
1993-04-06 04:00:00+00:00,25.607640917938536,25.607640917938536,25.409411466779265,25.481494903564453,129700,6,1,14,1993
1993-04-07 04:00:00+00:00,25.517527864548924,25.571590423583984,25.463465305513864,25.571590423583984,28000,7,2,14,1993
1993-04-08 04:00:00+00:00,25.679729417250368,25.679729417250368,25.427437338765102,25.53556251525879,180800,8,3,14,1993
1993-04-12 04:00:00+00:00,25.7878404589436,25.91398642904325,25.75179875320084,25.895965576171875,348500,12,0,15,1993
1993-04-13 04:00:00+00:00,25.877955468495685,26.04014321168264,25.85993460814158,25.95003890991211,146100,13,1,15,1993
1993-04-14 04:00:00+00:00,25.96805640951483,25.9860772675367,25.89597297742735,25.91399383544922,119600,14,2,15,1993
1993-04-15 04:00:00+00:00,25.89597297742735,25.96805640951483,25.805868687318,25.91399383544922,148600,15,3,15,1993
1993-04-16 04:00:00+00:00,25.93201469347109,25.96805640951483,25.87795211940548,25.91399383544922,47900,16,4,15,1993
1993-04-19 04:00:00+00:00,25.913993294678587,25.98607672526184,25.7878472911579,25.80586814880371,157000,19,0,16,1993
