Customer ID,Product
0,herring
0,corned beef
0,olives
0,ham
0,turkey
0,bourbon
0,ice cream
1,baguette
1,soda
1,herring
1,crackers
1,Heineken
1,olives
1,corned beef
2,avocado
2,crackers
2,artichoke
2,Heineken
2,ham
2,turkey
2,sardines
3,olives
3,bourbon
3,Coke
3,turkey
3,ice cream
3,ham
3,peppers
4,herring
4,corned beef
4,apples
4,olives
4,steak
4,avocado
4,turkey
5,sardines
5,Heineken
5,chicken
5,Coke
5,ice cream
5,peppers
5,ham
6,olives
6,bourbon
6,Coke
6,turkey
6,ice cream
6,Heineken
6,apples
7,corned beef
7,peppers
7,bourbon
7,crackers
7,chicken
7,ice cream
7,baguette
8,soda
8,olives
8,bourbon
8,crackers
8,Heineken
8,peppers
8,baguette
9,corned beef
9,peppers
9,bourbon
9,crackers
9,chicken
9,Bordeaux
9,herring
10,baguette
10,sardines
10,apples
10,peppers
10,avocado
10,steak
10,turkey
11,baguette
11,herring
11,avocado
11,artichoke
11,Heineken
11,apples
11,corned beef
12,herring
12,corned beef
12,apples
12,olives
12,steak
12,sardines
12,Heineken
13,baguette
13,sardines
13,apples
13,peppers
13,avocado
13,steak
13,ice cream
14,herring
14,corned beef
14,olives
14,ham
14,turkey
14,Coke
14,apples
15,olives
15,bourbon
15,Coke
15,turkey
15,ice cream
15,artichoke
15,ham
16,baguette
16,herring
16,avocado
16,artichoke
16,Heineken
16,Coke
16,turkey
17,sardines
17,Heineken
17,chicken
17,Coke
17,ice cream
17,corned beef
17,apples
18,soda
18,olives
18,bourbon
18,crackers
18,Heineken
18,baguette
18,peppers
19,soda
19,olives
19,bourbon
19,crackers
19,Heineken
19,steak
19,herring
20,herring
20,corned beef
20,olives
20,ham
20,turkey
20,apples
20,baguette
21,baguette
21,herring
21,avocado
21,artichoke
21,Heineken
21,bourbon
21,corned beef
22,soda
22,olives
22,bourbon
22,crackers
22,Heineken
22,artichoke
22,steak
23,soda
23,olives
23,bourbon
23,crackers
23,Heineken
23,corned beef
23,herring
24,sardines
24,Heineken
24,chicken
24,Coke
24,ice cream
24,apples
24,baguette
25,sardines
25,Heineken
25,chicken
25,Coke
25,ice cream
25,corned beef
25,peppers
26,olives
26,bourbon
26,Coke
26,turkey
26,ice cream
26,apples
26,baguette
27,olives
27,bourbon
27,Coke
27,turkey
27,ice cream
27,soda
27,avocado
28,soda
28,olives
28,bourbon
28,crackers
28,Heineken
28,artichoke
28,peppers
29,olives
29,bourbon
29,Coke
29,turkey
29,ice cream
29,sardines
29,soda
30,olives
30,bourbon
30,Coke
30,turkey
30,ice cream
30,soda
30,ham
31,corned beef
31,peppers
31,bourbon
31,crackers
31,chicken
31,herring
31,Coke
32,baguette
32,sardines
32,apples
32,peppers
32,avocado
32,corned beef
32,chicken
33,soda
33,olives
33,bourbon
33,crackers
33,Heineken
33,Bordeaux
33,ham
34,baguette
34,herring
34,avocado
34,artichoke
34,Heineken
34,Bordeaux
34,soda
35,herring
35,corned beef
35,olives
35,ham
35,turkey
35,crackers
35,baguette
36,avocado
36,crackers
36,artichoke
36,Heineken
36,ham
36,corned beef
36,sardines
37,soda
37,olives
37,bourbon
37,crackers
37,Heineken
37,apples
37,steak
38,baguette
38,herring
38,avocado
38,artichoke
38,Heineken
38,soda
38,ham
39,sardines
39,Heineken
39,chicken
39,Coke
39,ice cream
39,artichoke
39,steak
40,soda
40,olives
40,bourbon
40,crackers
40,Heineken
40,artichoke
40,Coke
41,herring
41,corned beef
41,apples
41,olives
41,steak
41,baguette
41,chicken
42,sardines
42,Heineken
42,chicken
42,Coke
42,ice cream
42,crackers
42,steak
43,soda
43,olives
43,bourbon
43,crackers
43,Heineken
43,steak
43,herring
44,herring
44,corned beef
44,olives
44,ham
44,turkey
44,bourbon
44,Heineken
45,corned beef
45,peppers
45,bourbon
45,crackers
45,chicken
45,ice cream
45,ice cream
46,baguette
46,sardines
46,apples
46,peppers
46,avocado
46,chicken
46,steak
47,baguette
47,soda
47,herring
47,crackers
47,Heineken
47,sardines
47,artichoke
48,corned beef
48,peppers
48,bourbon
48,crackers
48,chicken
48,turkey
48,ice cream
49,avocado
49,crackers
49,artichoke
49,Heineken
49,ham
49,sardines
49,herring
50,soda
50,olives
50,bourbon
50,crackers
50,Heineken
50,Bordeaux
50,avocado
51,baguette
51,sardines
51,apples
51,peppers
51,avocado
51,turkey
51,ice cream
52,baguette
52,soda
52,herring
52,crackers
52,Heineken
52,olives
52,avocado
53,baguette
53,herring
53,avocado
53,artichoke
53,Heineken
53,corned beef
53,chicken
54,herring
54,corned beef
54,olives
54,ham
54,turkey
54,avocado
54,baguette
55,baguette
55,soda
55,herring
55,crackers
55,Heineken
55,corned beef
55,ham
56,sardines
56,Heineken
56,chicken
56,Coke
56,ice cream
56,olives
56,corned beef
57,baguette
57,soda
57,herring
57,crackers
57,Heineken
57,avocado
57,avocado
58,soda
58,olives
58,bourbon
58,crackers
58,Heineken
58,ham
58,peppers
59,corned beef
59,peppers
59,bourbon
59,crackers
59,chicken
59,steak
59,apples
60,baguette
60,soda
60,herring
60,crackers
60,Heineken
60,artichoke
60,chicken
61,avocado
61,crackers
61,artichoke
61,Heineken
61,ham
61,herring
61,steak
62,herring
62,corned beef
62,apples
62,olives
62,steak
62,ham
62,ice cream
63,baguette
63,herring
63,avocado
63,artichoke
63,Heineken
63,steak
63,turkey
64,baguette
64,sardines
64,apples
64,peppers
64,avocado
64,Bordeaux
64,crackers
65,baguette
65,soda
65,herring
65,crackers
65,Heineken
65,chicken
65,corned beef
66,baguette
66,sardines
66,apples
66,peppers
66,avocado
66,crackers
66,bourbon
67,herring
67,corned beef
67,apples
67,olives
67,steak
67,Coke
67,soda
68,olives
68,bourbon
68,Coke
68,turkey
68,ice cream
68,sardines
68,avocado
69,corned beef
69,peppers
69,bourbon
69,crackers
69,chicken
69,soda
69,ice cream
